Year,Month,Region,Model,Estimated_Deliveries,Production_Units,Avg_Price_USD,Battery_Capacity_kWh,Range_km,CO2_Saved_tons,Source_Type,Charging_Stations
2021,2,Middle East,Model 3,14163,14499,98168.24,100,556,1181.19,Interpolated (Month),8104
2025,9,North America,Model 3,11340,11791,81180.36,60,351,597.05,Estimated (Region),7510
2025,11,Europe,Cybertruck,9171,10536,97489.87,100,586,806.13,Interpolated (Month),5555
2024,9,Asia,Model X,8409,8777,103557.81,100,588,741.67,Official (Quarter),6509
2016,9,Europe,Model X,14559,15638,107977.45,60,340,742.51,Official (Quarter),5085
2024,2,Asia,Cybertruck,17392,19926,55857.67,75,446,1163.52,Interpolated (Month),4513
2015,3,North America,Cybertruck,5716,6522,116775.0,60,357,306.09,Interpolated (Month),7441
2015,4,Asia,Model Y,7633,8492,102818.0,82,455,520.95,Estimated (Region),13830
2018,7,North America,Model S,7131,8189,97902.0,82,489,523.06,Official (Quarter),4710
2025,3,Asia,Model X,11956,13742,58158.12,120,710,1273.31,Estimated (Region),8997
2017,4,Asia,Cybertruck,5651,5846,50103.17,75,439,372.12,Interpolated (Month),14602
2018,8,North America,Model X,1240,1336,112760.23,82,459,85.37,Official (Quarter),3270
2025,5,North America,Model X,11008,11674,110366.63,75,419,691.85,Estimated (Region),9530
2022,12,Europe,Cybertruck,8171,9073,60650.35,82,488,598.12,Official (Quarter),13713
2018,2,Middle East,Cybertruck,15273,15975,52818.06,100,579,1326.46,Estimated (Region),7772
2021,5,Asia,Model S,9541,9929,109857.66,100,567,811.46,Official (Quarter),14676
2018,5,Asia,Model S,5894,6491,77715.61,120,705,623.29,Estimated (Region),8450
2015,7,North America,Cybertruck,4405,4472,60700.14,60,337,222.67,Official (Quarter),4928
2021,8,North America,Model S,7933,8430,85597.72,82,470,559.28,Official (Quarter),6248
2024,8,Europe,Model 3,11880,13074,62262.24,75,430,766.26,Estimated (Region),10781
2020,3,North America,Model X,11918,13671,60898.48,60,336,600.67,Interpolated (Month),5541
2019,1,North America,Model 3,13075,13668,87272.96,120,693,1359.15,Estimated (Region),10206
2015,4,Asia,Model S,13598,15097,106243.67,100,564,1150.39,Official (Quarter),5129
2019,4,Middle East,Model X,13892,15134,101770.68,100,560,1166.93,Interpolated (Month),13099
2017,8,North America,Model S,11311,12214,58077.62,60,348,590.43,Estimated (Region),4406
2018,8,Asia,Cybertruck,6880,7303,64678.32,120,718,740.98,Interpolated (Month),10747
2024,12,Asia,Model S,10239,11592,94708.94,120,683,1048.99,Estimated (Region),8109
2022,10,Middle East,Model 3,8455,9204,85264.14,60,349,442.62,Estimated (Region),14674
2020,9,Europe,Model 3,6496,6966,112078.21,75,426,415.09,Interpolated (Month),11996
2017,1,North America,Model S,6113,6850,69513.19,60,336,308.1,Estimated (Region),14489
2021,10,Middle East,Model X,11128,11881,78561.41,60,350,584.22,Official (Quarter),5998
2016,1,Asia,Cybertruck,8067,8485,75972.71,75,449,543.31,Interpolated (Month),3481
2016,10,North America,Model S,6258,7036,69706.48,60,356,334.18,Official (Quarter),4350
2023,12,Asia,Model S,5649,6211,64983.67,120,685,580.43,Estimated (Region),5372
2015,12,Asia,Model Y,5719,6486,66096.82,82,459,393.75,Official (Quarter),3373
2016,10,North America,Model X,9922,10370,91885.02,120,677,1007.58,Official (Quarter),6599
2021,2,Asia,Cybertruck,7648,8340,61475.22,60,352,403.81,Interpolated (Month),6614
2022,9,Middle East,Model Y,6952,7464,103792.75,82,460,479.69,Estimated (Region),6233
2024,7,Europe,Model 3,1492,1661,88072.56,75,445,99.59,Interpolated (Month),9522
2020,10,Middle East,Cybertruck,18392,19806,68744.2,120,687,1895.3,Interpolated (Month),8649
2017,5,Europe,Model X,8451,9514,50799.26,82,479,607.2,Interpolated (Month),14643
2020,9,North America,Model 3,11467,13072,100397.17,120,705,1212.64,Official (Quarter),5628
2019,8,North America,Model S,11480,11915,54709.92,82,461,793.84,Interpolated (Month),13946
2019,9,Europe,Model S,9082,9942,88005.83,100,556,757.44,Estimated (Region),7509
2023,1,Europe,Model Y,14836,16172,97728.31,75,449,999.2,Interpolated (Month),5788
2024,3,North America,Model X,8283,8391,70066.15,75,441,547.92,Interpolated (Month),4819
2015,12,North America,Model 3,10586,11907,85522.74,120,660,1048.01,Interpolated (Month),6444
2020,8,Europe,Cybertruck,10062,10568,103557.46,82,468,706.35,Estimated (Region),8810
2021,11,Middle East,Model S,11748,13383,107986.47,120,679,1196.53,Official (Quarter),5847
2023,1,Middle East,Model X,6197,6673,66969.32,82,458,425.73,Official (Quarter),3778
2023,11,North America,Model X,5365,6034,71688.78,60,358,288.1,Interpolated (Month),5155
2025,8,Asia,Model S,11848,12443,104498.21,120,711,1263.59,Estimated (Region),8227
2022,6,North America,Model Y,10312,11133,106390.66,82,483,747.1,Estimated (Region),9976
2016,3,Middle East,Model Y,5249,5829,110395.8,120,673,529.89,Estimated (Region),4148
2025,12,Europe,Model 3,16501,18884,108207.45,100,573,1418.26,Interpolated (Month),11849
2019,3,Middle East,Model Y,13191,14990,50432.87,120,708,1400.88,Official (Quarter),14380
2021,3,Europe,Model 3,6907,6946,58613.65,100,599,620.59,Official (Quarter),6782
2021,4,Europe,Model 3,11164,11825,84455.13,120,712,1192.32,Official (Quarter),7954
2020,2,Europe,Model Y,13825,15834,83894.92,120,663,1374.9,Official (Quarter),9620
2020,5,Asia,Model S,5784,6156,70108.04,100,586,508.41,Estimated (Region),8440
2019,6,North America,Model 3,12341,12850,94737.55,120,680,1258.78,Official (Quarter),14972
2021,10,Europe,Model Y,12459,12777,112819.33,75,437,816.69,Official (Quarter),13582
2016,10,Asia,Model Y,12205,12670,75329.72,75,430,787.22,Official (Quarter),3547
2020,3,Asia,Model Y,10062,11450,68947.85,82,466,703.33,Official (Quarter),9827
2020,2,North America,Model 3,11404,11966,72021.13,100,575,983.59,Interpolated (Month),14288
2025,6,Asia,Model 3,9808,10413,100126.43,120,666,979.82,Estimated (Region),6245
2019,9,Middle East,Model X,8123,8610,116300.71,100,570,694.52,Interpolated (Month),12262
2016,12,North America,Model S,9646,9877,51634.65,120,705,1020.06,Interpolated (Month),8502
2025,10,Asia,Model X,5013,5164,54937.4,75,441,331.61,Official (Quarter),5996
2021,8,Asia,Model 3,10980,11716,105290.52,75,435,716.44,Official (Quarter),4357
2022,11,Middle East,Model Y,21296,23581,57673.97,60,352,1124.43,Estimated (Region),4630
2018,5,Middle East,Cybertruck,7086,8012,90388.71,120,680,722.77,Official (Quarter),12636
2016,4,Middle East,Model Y,12146,12776,118292.71,120,698,1271.69,Official (Quarter),12869
2019,2,Middle East,Cybertruck,17194,18978,96293.99,75,413,1065.17,Interpolated (Month),7419
2023,1,North America,Model 3,18636,20752,65890.09,82,460,1285.88,Official (Quarter),4937
2023,5,North America,Model Y,14130,16020,52154.82,75,440,932.58,Official (Quarter),12105
2020,2,Europe,Cybertruck,19298,21732,119779.45,100,571,1652.87,Interpolated (Month),6843
2019,6,Middle East,Model S,6954,7148,63176.25,100,559,583.09,Estimated (Region),3684
2021,7,Europe,Model S,1889,1946,81630.83,120,707,200.33,Estimated (Region),10085
2019,7,Middle East,Cybertruck,13064,14557,115532.36,100,597,1169.88,Interpolated (Month),5097
2023,12,Middle East,Cybertruck,8570,9786,60142.91,75,419,538.62,Estimated (Region),13352
2015,3,North America,Model Y,11364,12347,84476.24,75,419,714.23,Official (Quarter),11669
2020,1,Asia,Model S,16393,16411,86274.4,75,413,1015.55,Interpolated (Month),9830
2015,9,Asia,Model Y,14196,15525,78658.82,120,693,1475.67,Estimated (Region),8233
2023,6,Asia,Model S,7800,7816,104026.38,82,486,568.62,Interpolated (Month),10369
2018,5,Middle East,Model X,10524,11157,73665.91,120,667,1052.93,Official (Quarter),7700
2020,4,North America,Model 3,7971,8106,78445.65,82,470,561.96,Estimated (Region),9489
2015,10,Asia,Cybertruck,5675,6461,117974.08,120,716,609.49,Estimated (Region),8690
2015,9,Middle East,Model S,9613,10902,105989.87,75,428,617.15,Official (Quarter),3269
2017,9,Middle East,Model S,15315,16609,93722.98,120,711,1633.34,Official (Quarter),10043
2021,12,Asia,Cybertruck,10989,12120,108894.97,120,684,1127.47,Interpolated (Month),12214
2024,11,Europe,Model X,6741,7454,97614.94,75,423,427.72,Interpolated (Month),6963
2019,3,Asia,Model 3,7660,8197,92412.78,75,428,491.77,Official (Quarter),3325
2018,7,Middle East,Model X,6750,7014,98646.72,75,433,438.41,Interpolated (Month),12554
2024,8,Middle East,Model 3,4293,4899,91215.62,100,565,363.83,Official (Quarter),8396
2022,3,Middle East,Cybertruck,10627,11394,93214.8,75,427,680.66,Official (Quarter),5380
2018,12,North America,Model 3,10972,12196,114344.56,100,571,939.75,Estimated (Region),7105
2021,7,Middle East,Model 3,8642,8738,85727.49,60,359,465.37,Official (Quarter),11318
2023,11,Europe,Model X,11323,12413,52155.06,120,703,1194.01,Interpolated (Month),13865
2022,11,Europe,Cybertruck,8918,9081,64841.95,60,330,441.44,Interpolated (Month),8207
2025,10,Asia,Model S,13514,14567,97725.78,60,343,695.3,Estimated (Region),5900
2016,7,Europe,Model X,14833,15941,55394.08,82,453,1007.9,Interpolated (Month),7010
2018,2,Europe,Model Y,2728,2744,69039.9,60,330,135.04,Interpolated (Month),14740
2017,12,Europe,Model X,12980,14796,68584.75,82,476,926.77,Official (Quarter),11141
2019,4,Middle East,Model 3,14637,15970,56200.48,120,700,1536.88,Estimated (Region),3769
2017,1,Middle East,Model S,2923,3251,72231.08,120,660,289.38,Estimated (Region),9133
2020,12,Europe,Cybertruck,2506,2586,96812.73,82,473,177.8,Estimated (Region),12994
2016,8,Asia,Model Y,6803,7012,111448.11,75,445,454.1,Estimated (Region),13446
2020,7,Middle East,Model Y,9358,9414,118902.54,120,683,958.73,Interpolated (Month),4826
2015,9,Asia,Model S,12372,12396,55985.6,100,560,1039.25,Interpolated (Month),3318
2016,9,North America,Model X,10096,11560,79243.27,100,599,907.13,Official (Quarter),11015
2018,8,Middle East,Cybertruck,13056,14836,75916.25,82,481,941.99,Interpolated (Month),13763
2021,10,Asia,Model X,7975,8297,103789.47,82,487,582.57,Estimated (Region),5658
2021,10,North America,Model S,14764,15765,79707.23,100,557,1233.53,Interpolated (Month),8116
2015,10,Europe,Model Y,12831,14369,98628.75,60,338,650.53,Official (Quarter),10082
2025,2,Middle East,Model X,8905,9306,95963.54,100,595,794.77,Official (Quarter),7807
2015,10,Middle East,Model 3,10384,10742,58439.68,120,664,1034.25,Official (Quarter),11355
2020,8,North America,Cybertruck,5817,6517,67287.58,60,356,310.63,Interpolated (Month),13929
2018,11,Asia,Model 3,7160,7549,107679.84,60,336,360.86,Official (Quarter),8628
2021,9,Asia,Model Y,9140,10036,116935.48,100,550,754.05,Interpolated (Month),5975
2025,1,Europe,Model Y,13291,14566,62104.57,100,584,1164.29,Official (Quarter),8126
2025,3,Middle East,Model 3,15264,16486,73693.64,120,699,1600.43,Interpolated (Month),11612
2016,5,North America,Model 3,12231,12905,54772.06,100,551,1010.89,Estimated (Region),4621
2015,12,Middle East,Cybertruck,17203,17897,105829.14,100,565,1457.95,Interpolated (Month),8462
2021,3,Europe,Model X,6517,6629,57489.39,75,439,429.14,Official (Quarter),13254
2016,12,North America,Model 3,8519,8888,113005.82,60,333,425.52,Interpolated (Month),14471
2022,5,Middle East,Cybertruck,17889,19907,110473.23,75,436,1169.94,Estimated (Region),13275
2017,5,Asia,Model X,14239,14773,93741.19,60,347,741.14,Official (Quarter),12993
2019,8,Asia,Cybertruck,8619,8892,101522.48,75,424,548.17,Official (Quarter),9072
2022,12,Europe,Model X,13132,14123,50985.58,100,550,1083.39,Estimated (Region),5881
2024,8,Asia,Model S,15865,17167,66182.31,60,340,809.11,Estimated (Region),10368
2023,11,Asia,Cybertruck,8624,9706,67412.03,60,342,442.41,Official (Quarter),11015
2022,3,Middle East,Model S,18486,21086,110350.71,100,594,1647.1,Estimated (Region),8614
2023,8,Europe,Model X,11623,11690,102745.27,60,345,601.49,Interpolated (Month),7423
2018,3,Europe,Model S,8500,9229,106380.26,75,441,562.27,Interpolated (Month),4846
2020,5,Europe,Model S,10841,12455,78552.6,60,338,549.64,Estimated (Region),9694
2021,3,Asia,Model 3,7552,8187,56653.96,75,420,475.78,Official (Quarter),7961
2017,11,North America,Model S,9677,10121,107566.68,75,414,600.94,Interpolated (Month),8023
2019,7,Europe,Model Y,6164,6686,67662.59,60,357,330.08,Estimated (Region),6188
2015,9,Europe,Model Y,5111,5187,67022.05,75,439,336.56,Interpolated (Month),13268
2019,10,Europe,Cybertruck,5655,6381,56946.64,60,332,281.62,Interpolated (Month),6152
2023,12,Asia,Cybertruck,11905,12981,90535.08,100,561,1001.81,Official (Quarter),3560
2022,2,Middle East,Model X,8449,9164,58017.3,120,719,911.22,Estimated (Region),8106
2020,4,Europe,Cybertruck,4068,4417,80929.76,75,425,259.33,Interpolated (Month),11957
2018,6,Asia,Model 3,15384,15892,93795.56,60,347,800.74,Official (Quarter),5218
2019,5,Europe,Model X,13602,14061,96362.25,75,435,887.53,Interpolated (Month),13981
2018,5,North America,Model X,17044,18626,63064.8,120,661,1689.91,Estimated (Region),6414
2024,10,Europe,Cybertruck,11346,11431,77762.62,60,341,580.35,Official (Quarter),6417
2025,2,Europe,Model Y,1589,1658,62204.97,100,589,140.39,Official (Quarter),14464
2019,2,Asia,Model S,9546,10021,99056.59,60,352,504.03,Estimated (Region),14152
2023,11,North America,Cybertruck,11986,12577,87376.96,60,331,595.1,Estimated (Region),5504
2016,12,North America,Model Y,8664,9913,77263.73,120,683,887.63,Interpolated (Month),7084
2023,2,Asia,Cybertruck,14614,16080,115963.41,60,354,776.0,Estimated (Region),3503
2021,4,Asia,Model X,8454,8914,94870.42,82,487,617.56,Interpolated (Month),4967
2018,12,North America,Model X,9743,10457,74615.49,100,595,869.56,Estimated (Region),9827
2016,10,Middle East,Cybertruck,6815,7829,59204.24,60,338,345.52,Estimated (Region),7734
2019,6,Asia,Model 3,8068,8161,96953.55,75,443,536.12,Estimated (Region),5935
2019,1,Europe,Cybertruck,8718,9352,55978.21,75,448,585.85,Estimated (Region),9216
2024,6,Europe,Model Y,3651,4028,89589.5,120,664,363.64,Official (Quarter),4951
2022,10,Europe,Model 3,20841,23735,95174.19,60,342,1069.14,Official (Quarter),14164
2015,5,Asia,Model Y,7896,8722,87526.75,100,565,669.19,Interpolated (Month),12765
2024,10,Europe,Model Y,5697,6406,74881.46,100,564,481.97,Official (Quarter),13090
2018,8,North America,Model 3,9870,10128,83015.46,100,554,820.2,Interpolated (Month),10508
2021,5,North America,Cybertruck,2210,2460,68015.58,100,584,193.6,Interpolated (Month),3476
2021,10,North America,Cybertruck,14193,15440,97193.45,75,442,941.0,Estimated (Region),10909
2020,12,North America,Model 3,15569,16988,78329.41,100,561,1310.13,Estimated (Region),6085
2015,7,Asia,Cybertruck,113,118,115067.04,120,709,12.02,Interpolated (Month),14580
2018,8,Europe,Model 3,18499,19682,93079.45,82,454,1259.78,Estimated (Region),4053
2021,1,North America,Cybertruck,6006,6007,58411.15,75,432,389.19,Interpolated (Month),11101
2019,7,Middle East,Model Y,9124,9987,80109.99,120,686,938.86,Interpolated (Month),6724
2022,3,Europe,Model Y,14670,15394,59676.25,82,467,1027.63,Interpolated (Month),14758
2025,8,Europe,Model S,1129,1160,108825.31,60,333,56.39,Estimated (Region),5579
2022,8,Asia,Model X,11585,12840,63331.99,120,686,1192.1,Estimated (Region),3858
2020,4,Middle East,Model Y,10318,11341,113229.15,82,455,704.2,Official (Quarter),5784
2025,4,Middle East,Model Y,10058,11457,78513.44,75,449,677.41,Estimated (Region),9950
2021,4,North America,Model 3,16328,17674,112147.23,120,666,1631.17,Official (Quarter),12871
2023,3,Europe,Model Y,11869,12314,79193.41,120,681,1212.42,Official (Quarter),13305
2022,2,Asia,Model Y,13461,14069,90476.09,60,344,694.59,Official (Quarter),9954
2021,9,Middle East,Model 3,10064,10320,72127.34,75,428,646.11,Official (Quarter),6711
2024,6,North America,Model 3,5897,6006,84944.81,100,566,500.66,Estimated (Region),6549
2021,11,North America,Cybertruck,6204,6702,81440.37,100,572,532.3,Official (Quarter),4093
2015,9,Middle East,Model Y,10783,11226,88792.46,82,477,771.52,Estimated (Region),12956
2022,7,Middle East,Model X,8386,8428,91520.92,75,419,527.06,Official (Quarter),7151
2016,11,Middle East,Model X,15582,17164,92404.55,120,681,1591.7,Estimated (Region),5614
2016,6,Asia,Cybertruck,7885,8483,108849.21,82,481,568.9,Estimated (Region),9506
2017,5,North America,Cybertruck,7766,8156,118496.78,60,355,413.54,Estimated (Region),11414
2021,8,Asia,Model X,9136,9679,102048.1,82,474,649.57,Estimated (Region),7657
2022,12,North America,Model X,10666,11185,70537.28,120,662,1059.13,Official (Quarter),12789
2021,6,North America,Cybertruck,3639,4038,66952.84,75,418,228.17,Estimated (Region),9358
2019,3,North America,Model S,9776,10512,113695.11,82,480,703.87,Interpolated (Month),9984
2022,7,North America,Model Y,16921,18220,75209.95,75,429,1088.87,Estimated (Region),11278
2021,7,Europe,Cybertruck,5159,5872,118495.42,100,550,425.62,Interpolated (Month),10472
2019,6,Middle East,Model Y,14754,16395,97266.16,82,459,1015.81,Estimated (Region),7229
2016,10,Middle East,Model 3,8763,9817,90043.41,75,431,566.53,Estimated (Region),6521
2021,7,North America,Model S,5168,5266,54097.56,82,463,358.92,Estimated (Region),4891
2015,11,Asia,Model S,15682,17319,60772.71,82,484,1138.51,Interpolated (Month),5693
2024,5,North America,Model Y,13749,14635,94909.92,100,590,1216.79,Official (Quarter),3067
2024,11,Asia,Model 3,12742,14279,64495.94,120,680,1299.68,Estimated (Region),4610
2022,1,Asia,Model S,7476,7781,108224.97,60,359,402.58,Estimated (Region),8926
2016,3,Europe,Cybertruck,9749,10459,67974.36,82,462,675.61,Interpolated (Month),6687
2023,11,Europe,Model 3,10577,12068,88815.88,100,580,920.2,Official (Quarter),14723
2018,8,Europe,Cybertruck,8415,9592,51409.65,75,418,527.62,Official (Quarter),13634
2025,12,North America,Cybertruck,9701,10572,66908.0,82,471,685.38,Official (Quarter),3889
2017,2,Europe,Model 3,12488,13372,111610.97,75,420,786.74,Official (Quarter),11133
2022,10,Europe,Cybertruck,11173,11362,107979.15,82,461,772.61,Estimated (Region),12327
2019,12,Europe,Model S,5122,5430,74549.69,75,441,338.82,Interpolated (Month),12638
2022,4,Asia,Model S,12876,14702,81005.6,60,347,670.2,Official (Quarter),8716
2016,3,North America,Model X,6034,6249,76127.63,60,336,304.11,Estimated (Region),3878
2016,1,Europe,Model 3,10238,11326,110967.84,75,439,674.17,Estimated (Region),12620
2023,10,North America,Model Y,12266,12573,100235.19,82,481,884.99,Official (Quarter),4067
2019,6,Asia,Model Y,8909,9045,113778.44,82,484,646.79,Official (Quarter),12120
2022,7,North America,Model S,8707,9829,67937.84,82,466,608.62,Estimated (Region),13455
2022,10,Asia,Model S,10216,11129,82227.03,120,681,1043.56,Official (Quarter),7236
2023,12,North America,Cybertruck,12121,13346,64312.67,60,357,649.08,Interpolated (Month),6173
2022,4,Europe,Model Y,14226,15780,50003.7,75,448,955.99,Estimated (Region),12770
2022,10,Middle East,Model Y,10455,10975,60845.92,100,592,928.4,Estimated (Region),9259
2023,10,Asia,Cybertruck,9742,10574,111362.37,75,447,653.2,Interpolated (Month),9345
2025,4,Europe,Model 3,12743,14549,50429.01,82,470,898.38,Interpolated (Month),3295
2017,12,Middle East,Cybertruck,5773,6233,70156.17,75,430,372.36,Interpolated (Month),6599
2024,6,Middle East,Cybertruck,8995,9523,91249.02,82,462,623.35,Estimated (Region),5102
2019,7,Asia,Model S,12631,13913,71111.08,60,335,634.71,Official (Quarter),6644
2019,7,Asia,Model 3,9721,9856,60070.76,82,455,663.46,Estimated (Region),8075
2015,6,North America,Cybertruck,12581,13909,64907.49,100,556,1049.26,Estimated (Region),3174
2022,3,Middle East,Model 3,12989,13754,117323.37,75,428,833.89,Interpolated (Month),10212
2019,1,North America,Cybertruck,15450,16585,87005.96,120,680,1575.9,Interpolated (Month),9231
2021,7,Europe,Model X,6373,7051,97413.93,82,452,432.09,Estimated (Region),7940
2016,9,Europe,Model Y,13362,13563,66791.19,75,417,835.79,Interpolated (Month),7175
2017,6,Middle East,Model 3,9731,10800,92471.22,82,478,697.71,Official (Quarter),3973
2022,7,Middle East,Model Y,8274,8688,57515.28,60,334,414.53,Estimated (Region),3401
2015,12,Europe,Model 3,10531,11077,93464.09,60,331,522.86,Official (Quarter),13458
2015,12,Asia,Model 3,12833,14663,60574.05,82,468,900.88,Official (Quarter),14323
2021,2,Middle East,Model X,4938,5121,102386.27,60,337,249.62,Estimated (Region),13580
2016,12,Middle East,Cybertruck,1761,1942,100589.49,82,479,126.53,Interpolated (Month),4613
2015,6,Asia,Model 3,6240,6864,62062.39,120,671,628.06,Estimated (Region),3490
2015,3,Asia,Model 3,25410,28802,73659.66,60,341,1299.72,Official (Quarter),4127
2020,8,Middle East,Cybertruck,9384,10068,101697.73,100,593,834.71,Interpolated (Month),10515
2023,3,North America,Model X,13516,15356,66498.1,75,446,904.22,Interpolated (Month),6713
2018,1,Europe,Model X,10309,11575,118849.7,120,675,1043.79,Official (Quarter),14636
2019,9,Europe,Model X,6790,7203,114860.98,120,702,714.99,Official (Quarter),8027
2025,4,Europe,Model S,13977,14330,100949.91,82,458,960.22,Estimated (Region),9137
2025,8,North America,Cybertruck,8051,8372,74141.16,100,582,702.85,Interpolated (Month),13593
2018,10,Europe,Model X,8207,9267,110622.5,120,660,812.49,Estimated (Region),12336
2020,3,North America,Cybertruck,14135,15310,113114.19,75,447,947.75,Interpolated (Month),3109
2018,10,Asia,Model 3,15214,15983,107926.66,120,660,1506.19,Interpolated (Month),6693
2024,4,Middle East,Cybertruck,11345,11782,53652.95,100,550,935.96,Interpolated (Month),3265
2016,7,Europe,Model Y,12785,14297,86208.83,82,469,899.42,Estimated (Region),4769
2024,10,Europe,Model S,9425,10352,109844.8,82,461,651.74,Interpolated (Month),6926
2016,3,Middle East,Model 3,5024,5612,69236.42,60,354,266.77,Estimated (Region),8084
2022,5,Asia,Model X,6711,7424,75749.3,120,693,697.61,Official (Quarter),4199
2015,11,Asia,Model X,7548,8554,116895.6,82,486,550.25,Interpolated (Month),12714
2022,2,Middle East,Model 3,12532,13443,71390.35,60,345,648.53,Estimated (Region),7583
2020,8,North America,Model S,14895,15487,81404.28,100,576,1286.93,Official (Quarter),10963
2023,2,Asia,Model S,7884,8529,64980.5,82,470,555.82,Official (Quarter),6818
2025,5,Europe,Cybertruck,6127,6482,113632.87,60,359,329.94,Estimated (Region),5083
2018,5,Europe,Cybertruck,12296,13590,88952.52,120,681,1256.04,Interpolated (Month),13936
2017,2,Europe,Model X,5444,5940,70671.1,82,456,372.37,Official (Quarter),10819
2018,5,Europe,Model X,11900,12449,92954.65,120,713,1272.7,Interpolated (Month),12719
2015,11,Middle East,Model Y,13281,14670,97609.85,82,476,948.26,Interpolated (Month),12032
2020,3,Middle East,Cybertruck,7976,9096,71584.65,120,712,851.84,Interpolated (Month),12169
2020,2,Middle East,Model X,12077,12821,65238.99,75,448,811.57,Interpolated (Month),4567
2020,8,Asia,Model 3,16161,17831,58897.18,100,567,1374.49,Official (Quarter),10109
2025,12,Middle East,Cybertruck,11972,12429,106953.95,82,476,854.8,Interpolated (Month),13057
